uid,type,1. I feel in tune with the people around me,2. I lack companionship,3. There is no one I can turn to,4. I do not feel alone,5. I feel part of a group of friends,6. I have a lot in common with the people around me,7. I am no longer close to anyone,8. My interests and ideas are not shared by those around me,9. I am an outgoing person,10. There are people I feel close to,11. I feel left out,12. My social relationships are superficial,13. No one really knows me well,14. I feel isolated from others,15. I can find companionship when I want it,16. There are people who really understand me,17. I am unhappy being so withdrawn,18. People are around me but not with me,19. There are people I can talk to,20. There are people I can turn to,total_score
u00,Post,3,2,2,4,3,3,1,2,3,3,2,3,1,1,3,3,3,3,4,4,106
u01,Post,3,2,2,4,4,3,1,2,4,4,3,2,2,2,4,3,3,3,4,4,118
u02,Post,4,2,2,4,4,4,1,1,2,4,2,1,1,1,4,4,1,1,4,4,102
u03,Post,2,1,1,3,1,2,4,3,1,2,2,2,3,2,3,4,2,2,3,2,90
u04,Post,3,3,3,3,2,3,3,3,2,4,4,2,3,2,2,3,2,3,3,3,112
u07,Post,2,3,1,4,3,2,1,3,3,4,3,3,1,3,4,4,3,3,4,4,116
u09,Post,4,3,2,2,4,4,1,2,2,4,2,2,1,2,4,2,2,3,4,4,108
u10,Post,2,2,2,2,2,1,4,4,1,1,1,4,4,4,3,1,1,4,2,2,94
u14,Post,4,2,1,4,4,4,1,1,4,4,2,2,1,1,3,4,1,1,3,4,102
u15,Post,4,2,1,4,4,4,1,1,3,4,2,1,1,1,4,4,1,1,4,4,102
u16,Post,3,3,2,4,4,4,2,2,2,3,3,2,2,2,4,4,3,3,4,4,120
u17,Post,3,4,2,4,1,2,1,4,3,4,4,3,4,4,2,4,3,4,4,4,128
u18,Post,2,3,3,2,3,2,4,3,2,2,3,4,4,3,2,1,3,3,1,1,102
u19,Post,2,4,3,2,3,2,2,2,2,3,3,3,3,3,2,2,3,2,3,3,104
u20,Post,4,2,2,4,4,4,2,4,4,3,2,2,2,2,3,3,3,3,4,3,120
u23,Post,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,110
u24,Post,3,3,3,3,2,2,2,3,3,2,3,4,4,3,4,2,3,4,3,3,118
u27,Post,3,3,3,3,3,2,3,2,2,3,2,3,3,2,3,2,2,3,3,3,106
u30,Post,4,2,2,4,4,4,1,1,4,4,2,1,1,1,4,4,1,1,4,4,106
u31,Post,3,1,2,4,4,3,1,2,3,3,3,3,1,1,1,2,1,2,2,2,88
u32,Post,4,4,1,4,4,4,1,2,4,4,2,2,1,1,4,4,2,2,4,4,116
u33,Post,4,4,4,3,3,2,4,4,4,2,3,3,4,4,2,2,4,4,3,3,132
u34,Post,4,2,2,4,4,4,1,2,3,4,3,2,3,2,3,3,2,2,4,4,116
u35,Post,4,2,2,3,2,3,3,2,3,2,2,3,1,1,3,3,1,2,4,3,98
u36,Post,4,1,1,3,4,4,1,1,3,3,2,3,2,2,3,3,2,2,4,4,104
u42,Post,4,3,1,4,4,4,1,2,3,4,2,3,2,1,3,3,2,2,4,4,112
u43,Post,3,3,1,4,3,3,3,2,2,4,2,3,3,2,4,4,3,3,4,4,120
u44,Post,3,3,2,3,3,3,2,2,3,3,2,3,2,2,3,3,2,3,3,3,106
u45,Post,4,2,3,2,3,3,2,2,4,2,3,2,2,2,3,2,2,3,3,3,104
u47,Post,4,4,1,4,4,4,1,1,4,4,1,1,1,1,4,4,1,1,4,4,106
u49,Post,3,2,1,4,4,4,1,1,3,4,1,1,1,1,4,4,2,3,4,4,104
u51,Post,3,2,2,4,4,3,1,1,3,3,1,2,2,2,3,3,2,2,3,3,98
u52,Post,4,3,1,4,2,4,1,1,3,4,3,1,1,1,4,3,1,1,4,3,98
u53,Post,4,2,1,4,4,3,1,2,3,4,3,2,2,2,4,3,2,2,4,4,112
u56,Post,3,2,1,3,3,2,2,2,1,3,2,1,2,2,4,4,2,2,4,4,98
u58,Post,4,1,1,1,3,1,2,3,1,3,1,2,4,2,3,4,1,2,3,3,90
u59,Post,4,1,1,3,4,4,1,2,4,4,1,1,2,2,3,3,2,2,4,3,102
